corso_codice,annoaccademico,immatricolabile,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
8886,2018/2019,True,Semiotica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8886,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
8887,2018/2019,True,Ingegneria chimica e biochimica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8887,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
8888,2018/2019,True,Ingegneria civile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8888,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
8890,2018/2019,True,Sviluppo e cooperazione internazionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8890,Bologna,Bologna,"Scienze Statistiche, Scienze politiche",Laurea,3,False,,,Italiano,numero chiuso
8891,2018/2019,True,Automation engineering ,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8891,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
8894,2018/2019,True,Ingegneria per l'ambiente e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8894,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
8895,2018/2019,True,Civil engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8895,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
8896,2018/2019,True,Ingegneria chimica e di processo,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8896,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
8965,2018/2019,True,Business and economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8965,Bologna,Bologna,Economia e management,Laurea,3,True,,Erogato in lingua straniera,Inglese,numero chiuso
9021,2018/2019,False,Advanced design,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9021,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9022,2018/2019,True,Fashion culture and management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9022,Rimini,Rimini,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9174,2018/2019,True,Specialized translation,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9174,ForlÃ¬,ForlÃ¬,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,numero chiuso
9198,2018/2019,True,Ingegneria per l'ambiente e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9198,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9199,2018/2019,True,Ingegneria edile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9199,Ravenna,Ravenna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
9200,2018/2019,True,Sviluppo locale e globale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9200,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9201,2018/2019,True,Ostetricia (abilitante alla professione sanitaria di ostetrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9201,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
9202,2018/2019,True,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9202,ForlÃ¬,ForlÃ¬,Economia e management,Laurea,3,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
9203,2018/2019,True,Economia e management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9203,ForlÃ¬,ForlÃ¬,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
9205,2018/2019,True,Telecommunications engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9205,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
9206,2018/2019,True,Pedagogia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9206,Bologna,Bologna,Scienze dellâ€™educazione e della formazione,Laurea Magistrale,2,False,,,Italiano,numero chiuso
9210,2018/2019,True,Medicine and surgery,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9210,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,True,,Erogato in lingua straniera,Inglese,numero chiuso
9211,2018/2019,True,Genomics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9211,Bologna,Bologna,Farmacia e biotecnologie,Laurea,3,True,,Erogato in lingua straniera,Inglese,numero chiuso
9212,2018/2019,True,Biologia della salute,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/9212,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
