annoaccademico,corso_codice,corso_descrizione,indirizzo_codice,indirizzo_descrizione,orientamento_codice,orientamento_descrizione,curriculum_codice,curriculum_descrizione,curriculum_note,url
2018/2019,8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",944,ANALISI E MONITORAGGIO DEGLI ECOSISTEMI,000,,Manifesto-2018_8532_000_944_2018,Curriculum Analisi e Monitoraggio degli Ecosistemi: per studenti immatricolati A.A. 2018/2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8532/944/000/2018
2018/2019,8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",944,ANALISI E MONITORAGGIO DEGLI ECOSISTEMI,000,,Manifesto-2018_8532_000_944_2017,Curriculum Analisi e Monitoraggio degli Ecosistemi: per studenti immatricolati A.A. 2017/2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8532/944/000/2017
2018/2019,8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",945,PROGETTAZIONE E GESTIONE DEGLI SPAZI VERDI,000,,Manifesto-2018_8532_000_945_2018,Curriculum Progettazione e gestione degli spazi verdi: per studenti immatricolati A.A. 2018/2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8532/945/000/2018
2018/2019,8532,"Progettazione e gestione degli ecosistemi agro-territoriali, forestali e del paesaggio",945,PROGETTAZIONE E GESTIONE DEGLI SPAZI VERDI,000,,Manifesto-2018_8532_000_945_2017,Curriculum Progettazione e gestione degli spazi verdi: per studenti immatricolati A.A. 2017/2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8532/945/000/2017
2018/2019,8537,Science for the conservation - restoration of cultural heritage,000,,000,,Manifesto-2018_8537_000_000_2018,Course structure diagrams for students enrolled a.y. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8537/000/000/2018
2018/2019,8537,Science for the conservation - restoration of cultural heritage,000,,000,,Manifesto-2018_8537_000_000_2017,Course structure diagrams for students enrolled a.y. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8537/000/000/2017
2018/2019,8540,Scienze della formazione primaria,000,,000,,Manifesto-2018_8540_000_000_2018,"Piano didattico per studenti immatricolati nell'a.a. 2018-19, 2017-18 e 2016-17",,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8540/000/000/2018
2018/2019,8540,Scienze della formazione primaria,000,,000,,Manifesto-2018_8540_000_000_1,Piano didattico per studenti immatricolati nell'a.a. 2015-16 e 2014-15,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8540/000/000/1
2018/2019,8609,Tourism economics and management ,000,,000,,Manifesto-2018_8609_000_000_2018,For students enrolled in the a.y. 2018/2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8609/000/000/2018
2018/2019,8609,Tourism economics and management ,000,,000,,Manifesto-2018_8609_000_000_2017,Study plan for students enrolled in the a.y. 2017/2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8609/000/000/2017
2018/2019,8610,Ingegneria dell'energia elettrica,000,,000,,Manifesto-2018_8610_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8610/000/000/2017
