annoaccademico,corso_codice,corso_descrizione,indirizzo_codice,indirizzo_descrizione,orientamento_codice,orientamento_descrizione,curriculum_codice,curriculum_descrizione,curriculum_note,url
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-17,"Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/88
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_19,Piano di studio per gli studenti immatricolati nell'a.a. 2015-16,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/19
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_2,Piano didattico per gli studenti immatricolati fino all'a.a. 2013-14,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza, sede di Bologna (cod. 0659) a partire dall'a.a. 2017-18 sarà sostituito dall'omonimo Corso di laurea cod. 9232.

Il piano didattico per gli immatricolati fino all'a.a. 2013-14 non è più attivo a partire dall'a.a 2014-15. 
Nella scelta delle sole attività a completamento del curriculum/a scelta, gli studenti immatricolati fino all'a.a. 2013-14 e iscritti in corso possono fare riferimento all'elenco visualizzato al momento della compilazione del piano di studio online 

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/2
2018/2019,0659,Giurisprudenza,000,,000,,Manifesto-2018_0659_000_000_1,Piano didattico  per gli studenti immatricolati negli a.a. 2014-15,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza, sede di Bologna (cod. 0659) a partire dall'a.a. 2017-18 sarà sostituito dall'omonimo Corso di laurea cod. 9232.

Il piano didattico per gli immatricolati fino all'a.a. 2013-14 non è più attivo a partire dall'a.a 2014-15. 
Nella scelta delle sole attività a completamento del curriculum/a scelta, gli studenti immatricolati fino all'a.a. 2013-14 e iscritti in corso possono fare riferimento all'elenco visualizzato al momento della compilazione del piano di studio online 

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0659/000/000/1
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_88,Piano didattico per gli immatricolati nell’A.A. 2016/17 (III anno a.a. 2018-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo CdS cod. 9233.
Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/88
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_3,Piano didattico per studenti immatricolati nell'a.a. 2015-16 (IV anno a.a. 2018-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo Corso di laurea codice 9233

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/3
2018/2019,0660,Giurisprudenza,000,,000,,Manifesto-2018_0660_000_000_2,Piano didattico per studenti immatricolati a.a. 2014-15 (V anno a.a. 18-19),"A partire dall'a.a. 2017-18 il Corso di Laurea magistrale a ciclo unico in Giurisprudenza, sede di Ravenna (cod. 0660) è stato sostituito dall'omonimo Corso di laurea codice 9233

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0660/000/000/2
2018/2019,0881,Architettura,000,,000,,Manifesto-2018_0881_000_000_2,Piano didattico per studenti immatricolati dall'a.a. 2012/2013,Legenda periodi: 1= primo semestre; 2= secondo semestre; E= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0881/000/000/2
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_2018,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/2018
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_2017,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/2017
2018/2019,0884,Chimica industriale,A39,CHIMICA INDUSTRIALE,000,,Manifesto-2018_0884_000_A39_88,Curriculum Chimica Industriale: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A39/000/88
2018/2019,0884,Chimica industriale,A40,ADVANCED SPECTROSCOPY IN CHEMISTRY,000,,Manifesto-2018_0884_000_A40_2018,Curriculum Advanced Spectroscopy in Chemistry: for students enrolled a.y. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A40/000/2018
2018/2019,0884,Chimica industriale,A40,ADVANCED SPECTROSCOPY IN CHEMISTRY,000,,Manifesto-2018_0884_000_A40_2017,Curriculum Advanced Spectroscopy in Chemistry: for students enrolled a.y. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0884/A40/000/2017
2018/2019,0897,Direzione aziendale,755,DIREZIONE AZIENDALE,000,,Manifesto-2018_0897_000_755_2018,Piano di studi Curr. 755.DIREZIONE AZIENDALE immatricolati a.a. 2018/19,Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). Ore di lezione: 3 e 6 cfu = 30; 4 e 8 cfu = 40; 9 cfu = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/755/000/2018
2018/2019,0897,Direzione aziendale,755,DIREZIONE AZIENDALE,000,,Manifesto-2018_0897_000_755_2017,Piano di studi Curr. 755.DIREZIONE AZIENDALE immatricolati a.a. 2017/18,Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). Ore di lezione: 3 e 6 cfu = 30; 4 e 8 cfu = 40; 9 cfu = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/755/000/2017
2018/2019,0897,Direzione aziendale,756,INTERNATIONAL MANAGEMENT,000,,Manifesto-2018_0897_000_756_2018,Study plan Curr.756.INTERNATIONAL MANAGEMENT for students enrolled in a.y. 2018/19,Classes will be held in the following terms: First term (from 18/09 to 22/10/2018); Second term (from 05/11 to 07/12/2018); P (from 18/09 to 07/12/2018); Third term (from 18/02 to 23/03/2019); Fourth term (from 15/04 to 24/05/2019); S (from 15/02 to 24/05/2019). Lesson hours: 3 and 6 ECTS (CFU) = 30; 4 and 8 ECTS (CFU) = 40; 9 ECTS (CFU) = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/756/000/2018
2018/2019,0897,Direzione aziendale,756,INTERNATIONAL MANAGEMENT,000,,Manifesto-2018_0897_000_756_2017,Study plan Curr.756.INTERNATIONAL MANAGEMENT for students enrolled in a.y. 2017/18,Classes will be held in the following terms: First term (from 18/09 to 22/10/2018); Second term (from 05/11 to 07/12/2018); P (from 18/09 to 07/12/2018); Third term (from 18/02 to 23/03/2019); Fourth term (from 15/04 to 24/05/2019); S (from 15/02 to 24/05/2019). Lesson hours: 3 and 6 ECTS (CFU) = 30; 4 and 8 ECTS (CFU) = 40; 9 ECTS (CFU) = 60,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0897/756/000/2017
2018/2019,0900,Economia e professione,000,,000,,Manifesto-2018_0900_000_000_2018,Piano di studi immatricolati a.a. 2018/19,"Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). 
Ore di lezione: 2 cfu = 20; 4 cfu = 26 e 30; 6 cfu = 40; 8 cfu = 52.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0900/000/000/2018
2018/2019,0900,Economia e professione,000,,000,,Manifesto-2018_0900_000_000_2017,Piano di studi immatricolati a.a. 2017/18,"Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). 
Ore di lezione: 2 cfu = 20; 4 cfu = 26 e 30; 6 cfu = 40; 8 cfu = 52.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0900/000/000/2017
2018/2019,0901,"Finanza, intermediari e mercati",000,,000,,Manifesto-2018_0901_000_000_2018,Piano di studi immatricolati a.a. 2018/19,"Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019).  
Ore di lezione: 6 cfu = 30; 8 cfu = 40.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0901/000/000/2018
2018/2019,0901,"Finanza, intermediari e mercati",000,,000,,Manifesto-2018_0901_000_000_2017,Piano di studi immatricolati a.a. 2017/18,"Le lezioni si svolgeranno nei seguenti periodi: 1 (dal 18/09 al 22/10/2018); 2 (dal 05/11 al 07/12/2018); P (dal 18/09 al 07/12/2018); 3 (dal 18/02 al 23/03/2019); 4 (dal 15/04 al 24/05/2019); S (dal 18/02 al 24/05/2019). 
Ore di lezione: 3 cfu = 15; 6 cfu = 30; 8 cfu = 40.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0901/000/000/2017
2018/2019,0902,Innovation and organization of culture and the arts,000,,000,,Manifesto-2018_0902_000_000_2018,Study plan for students enrolled in a.y. 2018/19,"Classes will be held in the following terms: First term (from 17/09 to 26/10/2018); Second term (from 05/11 to 20/12/2018); Third term for 1st year students (from 21/01 to 15/03/2019); Fourth term (from 08/04 to 01/06/2019); Fifth term for 2nd year students (from 21/01 to 15/02/2019); S (from 21/01 to 01/06/2019).
Lesson Hours: 3 e 4 ECTS (CFU) = 24; 6 ECTS (CFU) = 30.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0902/000/000/2018
2018/2019,0902,Innovation and organization of culture and the arts,000,,000,,Manifesto-2018_0902_000_000_2017,Study plan for students enrolled in a.y. 2017/18,"Classes will be held in the following terms: First term (from 17/09 to 26/10/2018); Second term (from 05/11 to 20/12/2018); Third term for 1st year students (from 21/01 to 15/03/2019); Fourth term (from 08/04 to 01/06/2019); Fifth term for 2nd year students (from 21/01 to 15/02/2019); S (from 21/01 to 01/06/2019).
Lesson Hours: 3 e 4 ECTS (CFU) = 24; 6 ECTS (CFU) = 30.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0902/000/000/2017
2018/2019,0905,Economia e commercio,000,,000,,Manifesto-2018_0905_000_000_2018,Corso di laurea magistrale in Economia e commercio - matricole A.A. 2018/19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0905/000/000/2018
2018/2019,0905,Economia e commercio,000,,000,,Manifesto-2018_0905_000_000_2017,Corso di laurea magistrale in Economia e commercio - matricole A.A. 2017/18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0905/000/000/2017
2018/2019,0905,Economia e commercio,000,,000,,Manifesto-2018_0905_000_000_88,Corso di laurea magistrale in Economia e Commercio - matricole A.A. 2016/17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0905/000/000/88
2018/2019,0915,Consulente del lavoro e delle relazioni aziendali,000,,000,,Manifesto-2018_0915_000_000_2016,Piano didattico per studenti immatricolati nell'a.a. 2016-17,"A partire dall'a.a. 2017-18 il Corso è stato sostituito dall'omonimo Corso di laurea triennale in Consulente del lavoro e delle relazioni aziendali (cod. 9230).

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0915/000/000/2016
2018/2019,0916,Giurista d'impresa e delle amministrazioni pubbliche,745,CONTRATTI IMPRESA E TRASPORTI,000,,Manifesto-2018_0916_000_745_88,"Indirizzo: CONTRATTI, IMPRESA e TRASPORTI","Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0916/745/000/88
2018/2019,0916,Giurista d'impresa e delle amministrazioni pubbliche,746,AMMINISTRAZIONE E GOVERNO DEL TERRITORIO,000,,Manifesto-2018_0916_000_746_2016,Amministrazione e Governo del Territorio,"A partire dall'a.a. 2017-18 il Corso è stato sostituito dal Corso di laurea triennale in Giurista per le imprese e per la Pubblica Amministrazione (cod. 9231).

Ciclo 1: lezioni da fine settembre a inizio dicembre; esami di profitto a partire dal mese di gennaio.
Ciclo 2: lezioni da fine febbraio a metà maggio; esami di profitto a partire da fine maggio.
Ciclo A: lezioni da fine settembre a metà maggio; esami di profitto a partire da fine maggio.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0916/746/000/2016
2018/2019,0920,Ingegneria dell'automazione,739,SISTEMI PER L'AUTOMAZIONE,000,,Manifesto-2018_0920_000_739_88,Curriculum Sistemi per l'automazione: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0920/739/000/88
2018/2019,0920,Ingegneria dell'automazione,740,AUTOMATION ENGINEERING,000,,Manifesto-2018_0920_000_740_88,Curriculum Automation engineering: per studenti immatricolati nell'a.a. 2016-17,"Il secondo anno si svolge presso ""Tongji University"" - Shanghai - Cina",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0920/740/000/88
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,995,CURRICULUM: ELETTRONICA,000,,Manifesto-2018_0923_000_995_2018,Curriculum Elettronica: per studenti immatricolati nell'a.a. 2018-19,"Gli insegnamenti del primo anno di corso 27991 Analisi Matematica T-1, 27996 Fisica Generale T-1 e 27993 Analisi Matematica T-2, sono propedeutici a tutti gli insegnamenti del terzo anno di corso. Per sostenere quindi  qualunque esame del terzo anno è necessario aver sostenuto gli esami di questi tre insegnamenti.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/995/000/2018
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,995,CURRICULUM: ELETTRONICA,000,,Manifesto-2018_0923_000_995_2017,Curriculum Elettronica: per studenti immatricolati nell'a.a. 2017-18,"Gli insegnamenti del primo anno di corso 27991 Analisi Matematica T-1, 27996 Fisica Generale T-1 e 27993 Analisi Matematica T-2, sono propedeutici a tutti gli insegnamenti del terzo anno di corso. Per sostenere quindi  qualunque esame del terzo anno è necessario aver sostenuto gli esami di questi tre insegnamenti.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/995/000/2017
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,995,CURRICULUM: ELETTRONICA,000,,Manifesto-2018_0923_000_995_88,Curriculum Elettronica: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/995/000/88
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,996,CURRICULUM: TELECOMUNICAZIONI,000,,Manifesto-2018_0923_000_996_2018,Curriculum Telecomunicazioni: per studenti immatricolati nell'a.a. 2018-19,"Gli insegnamenti del primo anno di corso 27991 Analisi Matematica T-1, 27996 Fisica Generale T-1 e 27993 Analisi Matematica T-2, sono propedeutici a tutti gli insegnamenti del terzo anno di corso. Per sostenere quindi  qualunque esame del terzo anno è necessario aver sostenuto gli esami di questi tre insegnamenti.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/996/000/2018
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,996,CURRICULUM: TELECOMUNICAZIONI,000,,Manifesto-2018_0923_000_996_2017,Curriculum Telecomunicazioni: per studenti immatricolati nell'a.a. 2017-18,"Gli insegnamenti del primo anno di corso 27991 Analisi Matematica T-1, 27996 Fisica Generale T-1 e 27993 Analisi Matematica T-2, sono propedeutici a tutti gli insegnamenti del terzo anno di corso. Per sostenere quindi  qualunque esame del terzo anno è necessario aver sostenuto gli esami di questi tre insegnamenti.",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/996/000/2017
2018/2019,0923,Ingegneria elettronica e telecomunicazioni,996,CURRICULUM: TELECOMUNICAZIONI,000,,Manifesto-2018_0923_000_996_88,Curriculum Telecomunicazioni: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0923/996/000/88
2018/2019,0924,Ingegneria energetica,A47,CURRICULUM 1,000,,Manifesto-2018_0924_000_A47_2017,Curriculum 1: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/A47/000/2017
2018/2019,0924,Ingegneria energetica,A47,CURRICULUM 1,000,,Manifesto-2018_0924_000_A47_88,Curriculum 1: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/A47/000/88
2018/2019,0924,Ingegneria energetica,A48,CURRICULUM 2,000,,Manifesto-2018_0924_000_A48_2017,Curriculum 2: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/A48/000/2017
2018/2019,0924,Ingegneria energetica,A48,CURRICULUM 2,000,,Manifesto-2018_0924_000_A48_88,Curriculum 2: per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/A48/000/88
2018/2019,0924,Ingegneria energetica,B12,APPLICAZIONI INDUSTRIALI E BIOMEDICALI DELL'ENERGIA,000,,Manifesto-2018_0924_000_B12_2018,Curriculum Applicazioni industriali e biomedicali dell'energia: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/B12/000/2018
2018/2019,0924,Ingegneria energetica,B13,FONTI ENERGETICHE TRADIZIONALI E RINNOVABILI,000,,Manifesto-2018_0924_000_B13_2018,Curriculum Fonti energetiche tradizionali e rinnovabili: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0924/B13/000/2018
2018/2019,0925,Ingegneria gestionale,000,,000,,Manifesto-2018_0925_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0925/000/000/2018
2018/2019,0925,Ingegneria gestionale,000,,000,,Manifesto-2018_0925_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0925/000/000/2017
2018/2019,0925,Ingegneria gestionale,000,,000,,Manifesto-2018_0925_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0925/000/000/88
2018/2019,0926,Ingegneria informatica,000,,000,,Manifesto-2018_0926_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0926/000/000/2017
2018/2019,0926,Ingegneria informatica,000,,000,,Manifesto-2018_0926_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0926/000/000/88
2018/2019,0927,Ingegneria meccanica,000,,000,,Manifesto-2018_0927_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0927/000/000/2018
2018/2019,0927,Ingegneria meccanica,000,,000,,Manifesto-2018_0927_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0927/000/000/2017
2018/2019,0927,Ingegneria meccanica,000,,000,,Manifesto-2018_0927_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0927/000/000/88
2018/2019,0930,Ingegneria civile,856,CURRICULUM: STRUTTURE,000,,Manifesto-2018_0930_000_856_2018,Curriculum Strutture: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/856/000/2018
2018/2019,0930,Ingegneria civile,856,CURRICULUM: STRUTTURE,000,,Manifesto-2018_0930_000_856_2017,Curriculum Strutture: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/856/000/2017
2018/2019,0930,Ingegneria civile,862,CURRICULUM: INFRASTRUTTURE VIARIE E TRASPORTI,000,,Manifesto-2018_0930_000_862_2018,Curriculum Infrastrutture viarie e trasporti: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/862/000/2018
2018/2019,0930,Ingegneria civile,862,CURRICULUM: INFRASTRUTTURE VIARIE E TRASPORTI,000,,Manifesto-2018_0930_000_862_2017,Curriculum Infrastrutture viarie e trasporti: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/862/000/2017
2018/2019,0930,Ingegneria civile,957,CURRICULUM: COSTRUZIONI PER L’EDILIZIA E LE INFRASTRUTTURE,000,,Manifesto-2018_0930_000_957_2018,Curriculum Costruzioni per l'edilizia e le infrastrutture: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/957/000/2018
2018/2019,0930,Ingegneria civile,957,CURRICULUM: COSTRUZIONI PER L’EDILIZIA E LE INFRASTRUTTURE,000,,Manifesto-2018_0930_000_957_2017,Curriculum Costruzioni per l'edilizia e le infrastrutture: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/957/000/2017
2018/2019,0930,Ingegneria civile,958,CURRICULUM: IDRAULICA E TERRITORIO,000,,Manifesto-2018_0930_000_958_2018,Curriculum Idraulica e territorio: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/958/000/2018
2018/2019,0930,Ingegneria civile,958,CURRICULUM: IDRAULICA E TERRITORIO,000,,Manifesto-2018_0930_000_958_2017,Curriculum Idraulica e territorio: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0930/958/000/2017
2018/2019,0934,Ingegneria elettronica,577,BIOINGEGNERIA ELETTRONICA,000,,Manifesto-2018_0934_000_577_2018,Curriculum Bioingegneria elettronica: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/577/000/2018
2018/2019,0934,Ingegneria elettronica,577,BIOINGEGNERIA ELETTRONICA,000,,Manifesto-2018_0934_000_577_2017,Curriculum Bioingegneria elettronica: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/577/000/2017
2018/2019,0934,Ingegneria elettronica,A75,INGEGNERIA ELETTRONICA,000,,Manifesto-2018_0934_000_A75_2018,Curriculum Ingegneria elettronica: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/A75/000/2018
2018/2019,0934,Ingegneria elettronica,A75,INGEGNERIA ELETTRONICA,000,,Manifesto-2018_0934_000_A75_2017,Curriculum Ingegneria elettronica: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/A75/000/2017
2018/2019,0934,Ingegneria elettronica,A76,ELECTRONIC TECHNOLOGIES FOR BIG-DATA AND INTERNET OF THINGS,000,,Manifesto-2018_0934_000_A76_2018,Curriculum Electronic technologies for Big-Data and Internet of Things: per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/A76/000/2018
2018/2019,0934,Ingegneria elettronica,A76,ELECTRONIC TECHNOLOGIES FOR BIG-DATA AND INTERNET OF THINGS,000,,Manifesto-2018_0934_000_A76_2017,Curriculum Electronic technologies for Big-Data and Internet of Things: per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0934/A76/000/2017
2018/2019,0935,Ingegneria energetica,000,,000,,Manifesto-2018_0935_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0935/000/000/2018
2018/2019,0935,Ingegneria energetica,000,,000,,Manifesto-2018_0935_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0935/000/000/2017
2018/2019,0936,Ingegneria gestionale,000,,000,,Manifesto-2018_0936_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/0936/000/000/2018
